QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q2,5.156,14863.946,47
Q2,0.536,14940.059,47
Q2,0.542,14328.72,47
Q2,0.553,15162.815,47
Q2,0.439,14867.281,47
Q2,0.574,15165.621,47
Q2,0.44,15639.366,47
Q2,0.561,15171.154,47
Q2,0.517,15008.117,47
Q2,0.508,14334.904,47
