QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1_V1,22.279,1380.138,54
Q1_V1,1.081,1200.841,54
Q1_V1,0.904,1292.319,54
Q1_V1,1.213,1273.209,54
Q1_V1,0.927,1193.054,54
Q1_V1,0.844,1147.306,54
Q1_V1,0.87,1245.747,54
Q1_V1,0.818,1189.937,54
Q1_V1,1.244,1218.616,54
Q1_V1,1.228,1353.449,54
