QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,32.334,7491.127,35
Q1,2.195,7442.673,35
Q1,3.024,7758.336,35
Q1,2.654,7421.554,35
Q1,1.917,7426.858,35
Q1,2.06,7599.561,35
Q1,1.982,7337.821,35
Q1,1.889,7346.809,35
Q1,1.886,8953.789,35
Q1,1.885,7378.984,35
Q1_V1,0.988,1304.876,54
Q1_V1,0.749,1157.443,54
Q1_V1,0.791,1241.129,54
Q1_V1,1.208,1320.241,54
Q1_V1,0.864,1241.584,54
Q1_V1,0.897,1216.624,54
Q1_V1,0.808,1255.365,54
Q1_V1,0.761,1196.62,54
Q1_V1,0.759,1144.436,54
Q1_V1,0.79,1186.615,54
Q1_V2,1.052,3448.969,38
Q1_V2,0.935,3459.282,38
Q1_V2,1.072,3599.813,38
Q1_V2,4.76,3466.936,38
Q1_V2,1.019,3536.686,38
Q1_V2,1.039,3479.891,38
Q1_V2,0.977,3525.984,38
Q1_V2,0.923,3515.538,38
Q1_V2,1.003,3524.875,38
Q1_V2,1.413,3492.897,38
